ts	qid	tag	query	limit	http	total_hits	n_hits	bales_frags	err
2026-09-14T07:05:32Z	q0060	B	"Block 37" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:05:37Z	q0062	chain	"DeKoven Street.! Q. What is your" "loosened them as quick as I could"	10	200	1	1	2	
2026-09-14T07:05:38Z	q0063	B	"Block 38" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:05:46Z	q0065	B	"east half" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:05:48Z	q0066	chain	"White’s house or head" "time of the inquiry" "Sullivan saw the smoke" "Mus- ham’s reference material"	10	200	1	1	5	
2026-09-14T07:05:56Z	q0067	B	"could not have seen" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:05:56Z	q0068	chain	"Determining the Distance That" "lived across the street" "the street, walk past" "Sullivan testified that when"	10	200	1	1	5	
2026-09-14T07:06:01Z	q0069	B	"Dalton's house" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:06:02Z	q0070	chain	"never claimed in ei" "side of DeKoven Street" "was a great big" "dray. I am a"	10	200	1	1	5	
2026-09-14T07:06:10Z	q0071	B	"twenty-five minutes past nine" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:06:10Z	q0072	chain	"What is your business" "JAMES H. HILDRETH ROBERT" "left the house, and" "the alleyway is presumed"	10	200	1	1	5	
2026-09-14T07:06:15Z	q0073	B	"half-past nine" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:06:16Z	q0074	chain	"AND PATRICK O’LEARY PROPERTIES" "Douglas A. Swanson diminished" "example, that after the" "witness Q. Where do you live? A"	10	200	1	1	5	
2026-09-14T07:06:19Z	q0075	B	"8:30" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:06:28Z	q0077	B	"8:40" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:06:34Z	q0078	B	"8:45" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:06:38Z	q0079	B	"8:20" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:06:39Z	q0076	chain	"commissioners Q. Where do you live? A" "O'Leary House McLaughlin House" "them five cows that" "alarm telegraph, Tuesday, November"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:06:43Z	q0080	B	"his mother's cow" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:06:49Z	q0082	B	lantern Sullivan "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:06:51Z	q0081	chain	"duty until 12:30 same" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:06:56Z	q0083	B	smoking Sullivan "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:07:00Z	q0085	B	perjur* "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:07:06Z	q0086	B	lied Sullivan "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:07:11Z	q0084	chain	"his location, stating that" "testimony, as any buildings" "likely the Forbes house" "depicted, the house clearly"	10	200	1	1	4	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:07:12Z	q0087	B	"cover up" "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:07:17Z	q0088	chain	"height would have certainly" "20, 1871 Daniel “Peg" "William White’s property.’ Why" "argue that perhaps Sullivan"	10	200	1	1	4	
2026-09-14T07:07:17Z	q0089	B	McDermott affidavit "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:07:23Z	q0091	B	"Mrs. White" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:07:29Z	q0092	B	feed cow Sullivan "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:07:41Z	q0090	chain	"almost certain that Sullivan" "you stand there? A" "house and in McLaughlin’s.”" "both sides of White’s"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:07:54Z	q0093	B	"Peg Leg" "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:08:03Z	q0095	B	"Louis M. Cohn" "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:08:04Z	q0094	chain	"Murray and Patrick O'Leary" "would have nonetheless obstructed" "the fire officials failed" "ultimately became the O’Leary"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:08:10Z	q0096	B	Ahern cow "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:08:14Z	q0097	chain	"Allegedly Ran to the Barn The" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:08:16Z	q0098	B	"Copyright" "loosened them as quick as I could"	10	200	2	2	2	
2026-09-14T07:08:22Z	q0099	chain	"dray. I am a" "loosened them as quick as I could"	10	200	1	1	2	
2026-09-14T07:08:25Z	q0100	B	"Library of Congress Cataloguing" "loosened them as quick as I could"	10	200	1	1	2	
2026-09-14T07:08:31Z	q0102	B	"McFarland" "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:08:46Z	q0101	chain	"What is your business" "loosened them as quick as I could"	10	200	1	1	4	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:08:57Z	q0103	chain	"witness Q. Where do you live? A" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:09:06Z	q0104	chain	"White did own land" "claims as to see- ing the" "barn rising above Dalton’s" "Mus- ham’s reference material"	10	200	1	1	4	
2026-09-14T07:09:14Z	q0105	chain	"134 De- Koven Street" "in front of White’s" "tered the barn, the fire had" "never claimed in ei"	10	200	1	1	5	
2026-09-14T07:09:21Z	q0106	chain	"the south side of DeKoven Street" "was a great big" "E: “After the Inquiry’—The" "side of the street"	10	200	1	1	5	
2026-09-14T07:09:47Z	q0107	chain	"point that is two-and-one-half" "1871 FIGURE 51—THE ANNE" "Douglas A. Swanson diminished" "one made an alarm"	10	200	1	1	4	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:09:54Z	q0109	chain	"DeKoven Street. Q. The house that" "DeKoven Note: Forbes's house" "horse, wagon, and harness" "#24—Denis J. Swenie, foreman"	10	200	1	1	5	
2026-09-14T07:10:02Z	q0110	chain	"on duty until 12:30" "loosened them as quick as I could"	10	200	0	0	0	
2026-09-14T07:10:09Z	q0108	marker	"[255]" "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:10:16Z	q0112	marker	"[257]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:10:24Z	q0113	marker	"[258]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:10:24Z	q0111	chain	"height would have certainly" "loosened them as quick as I could"	10	200	1	1	2	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:10:33Z	q0115	chain	"in his testimony, Sullivan" "address the in- congruity" "realize that the Dalton" "house on it with exacting"	10	200	1	1	4	
2026-09-14T07:10:33Z	q0114	marker	"[259]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:10:39Z	q0117	marker	"[260]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:10:46Z	q0118	marker	"[261]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:10:50Z	q0116	chain	"Louis Cohn.! riZ —Chicago" "lot line between DeKoven" "first broken through the" "mar- shals.'° Nonetheless, it"	10	200	1	1	4	
2026-09-14T07:10:57Z	q0120	chain	"other side of the" "carrying on was in" "presumed to be a" "20' 30' 40' 50' scale"	10	200	1	1	5	
2026-09-14T07:11:04Z	q0119	marker	"[262]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:11:07Z	q0121	chain	"have nonetheless obstructed Sullivan’s" "at this particular location.’" "Because of these ordinances"	10	200	1	1	3	
2026-09-14T07:11:14Z	q0122	marker	"[263]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:11:14Z	q0123	chain	"the south side of DeKoven Street" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:11:38Z	q0125	chain	"the opposite side of the street" "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:11:39Z	q0124	marker	"[264]" "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:11:45Z	q0126	chain	"the O’Leary- Dalton boundary" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:11:46Z	q0127	marker	"[265]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:11:53Z	q0129	marker	"[266]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:11:59Z	q0130	marker	"[267]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:12:09Z	q0128	chain	"As platted, DeKoven Street" "as an alley, running" "in front of William" "something that could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:12:14Z	q0132	chain	"Sullivan’s sons bought her" "utilizing Chicago real estate" "have been set back" "rear of his property"	10	200	1	1	5	
2026-09-14T07:12:24Z	q0133	chain	"buildings to be destroyed" "erty; it was across" "across the street could not" "the case, then the"	10	200	1	1	4	
2026-09-14T07:12:25Z	q0131	marker	"[268]" "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:12:32Z	q0134	chain	"Center of the Chicago" "subdivision in which the" "19 a year later" "he testified that after"	10	200	1	1	5	
2026-09-14T07:12:51Z	q0135	marker	"[269]" "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:13:15Z	q0136	chain	"a “vacant lot” west" "if Mrs. Sullivan lived" "home on lot 21" "the half- lot on"	10	200	1	1	4	<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>
2026-09-14T07:13:15Z	q0137	marker	"[270]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:13:23Z	q0139	marker	"[271]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:13:40Z	q0138	chain	"records also indicate that" "was the other barn" "Leg” because of his" "have been almost half"	10	200	1	1	4	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:13:46Z	q0141	chain	"tered the barn, the fire had" "never claimed in ei" "256 Said I, “It is time for me to" "was a great big"	10	200	1	1	4	
2026-09-14T07:13:48Z	q0140	marker	"[272]" "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:13:54Z	q0143	marker	"[121]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:00Z	q0144	marker	"[122]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:05Z	q0145	marker	"[117]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:10Z	q0146	marker	"[118]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:10Z	q0142	chain	"the last fifteen or" "that between Clinton and" "Report of the Board" "that the fire started"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:14:17Z	q0147	marker	"[119]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:22Z	q0149	marker	"[120]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:29Z	q0150	marker	"[247]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:37Z	q0151	marker	"[248]" "loosened them as quick as I could"	10	200	2	2	5	
2026-09-14T07:14:41Z	q0152	marker	"[249]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:48Z	q0153	marker	"[250]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:14:52Z	q0148	chain	"sists of the recollections" "then what was Schae" "1871 FIGURE 51—THE ANNE" "Douglas A. Swanson diminished"	10	200	1	1	4	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:14:55Z	q0154	marker	"[251]" "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:15:08Z	q0156	markerQ	"[255]" Q	10	200	2082870	10	0	
2026-09-14T07:15:16Z	q0157	markerQ	"[257]" Q	10	200	1992908	10	0	
2026-09-14T07:15:18Z	q0155	chain	"In this affidavit Sullivan" "published in the Tribune" "commissioners and marshals never" "witness Q. Where do you live"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:15:27Z	q0159	chain	"burnt? A. Yes sir. Q. On the" "hour, they were certainly" "DeKoven Note: Forbes's house" "coal and two tons"	10	200	1	1	4	
2026-09-14T07:15:35Z	q0160	chain	"No. 14, Tuesday, November" "that might give testimony" "remained on duty until"	10	200	1	1	3	
2026-09-14T07:15:36Z	q0158	markerQ	"[259]" Q	10	200	2010355	10	0	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:15:46Z	q0161	chain	"carrying on was in" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:15:56Z	q0163	chain	"presumed to be a" "loosened them as quick as I could"	10	200	1	1	3	
2026-09-14T07:16:04Z	q0164	chain	"wide and 118 feet" "appropriating a 15-foot- wide" "startling conclusions are revealed" "he used to go"	10	200	1	1	4	
2026-09-14T07:16:07Z	q0162	markerQ	"[260]" Q	10	200	2113537	10	0	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:16:14Z	q0166	markerQ	"[262]" Q	10	200	1995249	10	0	
2026-09-14T07:16:42Z	q0168	markerQ2	"[255]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:16:49Z	q0169	markerQ2	"[257]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:16:49Z	q0165	chain	"probably did go to" "testify. ° Sullivan’s Testimony" "been set back as" "Finally, an eight-foot-high fence"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:16:55Z	q0170	markerQ2	"[259]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:16:56Z	q0171	chain	"O’Leary, was only fourteen" "something and made for" "excuse the fire officials" "that Sullivan may have"	10	200	1	1	5	
2026-09-14T07:17:02Z	q0172	markerQ2	"[260]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:17:02Z	q0173	chain	"neighborhood. Musham locates Walter" "would have certainly blocked" "half of lot 19" "must have lived in"	10	200	1	1	5	
2026-09-14T07:17:08Z	q0174	markerQ2	"[262]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:17:13Z	q0175	chain	"the adjoining land to" "vacant, if Daniel Sullivan" "21, that he lived" "described as the west"	10	200	1	1	5	
2026-09-14T07:17:15Z	q0176	markerQ2	"[263]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:17:20Z	q0177	chain	"have been the middle" "only remaining Sullivan parcel—the" "of Jacob Schaller, Mary" "which was probably located"	10	200	1	1	4	
2026-09-14T07:17:25Z	q0178	markerQ2	"[264]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:17:25Z	q0179	chain	"of Mrs. O’Leary’s Cow" "tioning before the commissioners" "about twenty min- utes" "other side of the"	10	200	1	1	5	
2026-09-14T07:17:32Z	q0180	markerQ2	"[266]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:17:42Z	q0183	chain	"stream put on that. Catherine Sullivan" "the south side of DeKoven Street" "256 Said I, “It is time for me to" "had nothing on but his pants"	10	200	1	1	5	
2026-09-14T07:17:44Z	q0182	markerQ2	"[267]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:17:52Z	q0184	chain	"rope. Q. The door was here" "hand as you went in any quantity of" "keep account of it. I went" "wide was that alley? A. I do not know"	10	200	1	1	5	
2026-09-14T07:18:05Z	q0186	chain	"high as that door. I sat" "city for the last fifteen or" "Was that between Clinton and" "of the board of police and"	10	200	1	1	5	
2026-09-14T07:18:14Z	q0187	chain	"12th witness Q. Where do you live" "north side of DeKoven Street, fronting" "I can tell. I will tell" "Q. They were trying to put the fire out"	10	200	1	1	4	
2026-09-14T07:18:24Z	q0188	chain	"every- thing that I wanted in" "November 28 #25—Alexander McMonagle, foreman, Steamer" "eve- ning. At 9:30 I received" "this subdivision. As platted, DeKoven Street"	10	200	0	0	0	
2026-09-14T07:18:25Z	q0185	markerQ2	"[268]" Q "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:18:30Z	q0189	chain	"for use as an alley, running" "as at least one neigh- boring" "easily be verified? He testified that" "the house and barn on lot 21 in September"	10	200	1	1	4	
2026-09-14T07:18:34Z	q0190	markerQ2	"[269]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:18:37Z	q0191	chain	"estate rec- ords, inquiry testimony, post-fire" "much as thirty-seven feet, Andreas would" "also may have blocked Sulli- van’s" "fire. It is possible that Forbes’s"	10	200	1	1	4	
2026-09-14T07:18:39Z	q0192	markerQ2	"[271]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:18:44Z	q0193	chain	"on the south side of DeKoven" "be verified or challenged by the" "and height of these buildings 118" "Historical Society, does not indicate the"	10	200	1	1	5	
2026-09-14T07:18:45Z	q0194	markerQ2	"[121]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:19:07Z	q0196	markerQ2	"[122]" Q "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:19:20Z	q0197	markerQ2	"[117]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:19:31Z	q0195	chain	"O’Learys lived were all originally 50" "the O’Leary house, he went next" "in September of 1870, Catherine Sullivan" "it is quite possible that one"	10	200	1	1	4	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:19:39Z	q0199	chain	"Douglas A. Swan- son. 56. Daniel" "west half of lot 19 Figure" "barn located? Catherine Sullivan testified that" "leg. He apparently lost the original"	10	200	1	1	4	
2026-09-14T07:19:47Z	q0200	chain	"Mr. McLaughlin had played his fiddle" "yet broken through the roof. Sullivan" "the affidavit or his testimony that" "quite possible that the fire started"	10	200	1	1	4	
2026-09-14T07:19:56Z	q0201	chain	"firemen and “the statements of citizens" "doing for forty-five minutes? Why did" "at twenty or twenty-five minutes past" "See Figure 54. Like the O'Leary"	10	200	1	1	5	
2026-09-14T07:20:03Z	q0198	markerQ2	"[118]" Q "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:20:06Z	q0202	chain	"October 8, 1871 FIGURE 51—THE ANNE" "Diagram by Douglas A. Swanson diminished" "October 20. In this affidavit Sullivan" "affidavit was published in the Tribune"	10	200	1	1	4	
2026-09-14T07:20:17Z	q0204	chain	"asked him who “every- one” was so" "good sleepers to sleep through a" "House BS DeKoven Note: Forbes's house" "happened on that Sun- day evening"	10	200	1	1	4	
2026-09-14T07:20:24Z	q0203	markerQ2	"[119]" Q "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:20:24Z	q0205	chain	"There wasn’t any stream put on" "twenty min- utes past nine to" "along. I was hollering and shoving" "off into stalls? A. No, only"	10	200	1	1	5	
2026-09-14T07:20:31Z	q0207	chain	"hundreds of times. Q. Do you" "Q. Do you know when Dalton’s house took" "rear of it? A. Yes sir. Back" "other side of the street from"	10	200	1	1	5	
2026-09-14T07:20:38Z	q0208	chain	"buildings should you think there was on fire then" "she came there. They gave it two or three" "O’Learys lived were all originally 50" "another or- dinance was approved, appropriating"	10	200	1	1	4	
2026-09-14T07:20:41Z	q0206	markerQ2	"[249]" Q "loosened them as quick as I could"	10	200	1	1	5	<urlopen error [Errno 104] Connection reset by peer>
2026-09-14T07:20:48Z	q0209	chain	"lens of this diagram, sev- eral" "telling the truth when he testified" "place” for their mother. Daniel Sullivan" "whether or not she would be available"	10	200	1	1	4	
2026-09-14T07:20:49Z	q0210	markerQ2	"[250]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:20:55Z	q0211	chain	"somewhat plausible that if Forbes’ house" "Sul- livan’s view see Appendix B" "O’ Leary barn which, according to" "close to the wall, I could"	10	200	1	1	5	
2026-09-14T07:20:55Z	q0212	markerQ2	"[251]" Q "loosened them as quick as I could"	10	200	1	1	5	
2026-09-14T07:21:00Z	q0214	markerQ2	"Transcript of the Inquiry (Sullivan)" "loosened them as quick as I could"	10	200	0	0	0	
